name,industry,subindustry,industries/0,industries/1,tags/0,tags/1,highlight_black,highlight_latinx,highlight_women,batch_season,batch_year,first_loc,region,top_acq_pub
ShipBob,B2B Software and Services,B2B Software and Services -> Supply Chain and Logistics,B2B Software and Services,Supply Chain and Logistics,Logistics,E-Commerce,FALSE,FALSE,FALSE,S,14,"Chicago, IL, USA",United States of America,1
Front,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,SaaS,,FALSE,FALSE,TRUE,S,14,"San Francisco, CA, USA",United States of America,1
PicnicHealth,Healthcare,Healthcare,Healthcare,,Digital Health,Health Tech,FALSE,FALSE,TRUE,S,14,"San Francisco, CA, USA",United States of America,1
Stacks,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Crypto / Web3,DeFi,FALSE,FALSE,FALSE,S,14,"New York, NY, USA",United States of America,1
Permutive,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Advertising,Privacy,FALSE,FALSE,FALSE,S,14,"London, England, United Kingdom",United Kingdom,1
Cognito,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Identity,Fintech,FALSE,FALSE,FALSE,S,14,Remote,United States of America,1
Apto Payments,Financial Technology,Financial Technology -> Payments,Financial Technology,Payments,Fintech,,FALSE,FALSE,TRUE,S,14,"San Francisco, CA, USA",United States of America,1
Bayes Impact,Unspecified,Unspecified,Unspecified,,Nonprofit,,FALSE,FALSE,FALSE,S,14,"San Francisco, CA, USA",United States of America,0
Oklo,Industrials,Industrials -> Energy,Industrials,Energy,Climate,Small Modular Reactors,FALSE,FALSE,TRUE,S,14,"Santa Clara, CA, USA",United States of America,0
Women.com,Consumer,Consumer -> Content,Consumer,Content,Women's ealth,,FALSE,FALSE,FALSE,S,14,"San Mateo, CA, USA",United States of America,0
Roomstorm,Consumer,"Consumer -> Travel, Leisure and Tourism",Consumer,"Travel, Leisure and Tourism",Travel,Marketplace,FALSE,FALSE,FALSE,S,14,"Redwood City, CA, USA",United States of America,0
Hive,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,SaaS,SMS,FALSE,FALSE,FALSE,S,14,Remote,Canada,0
Think Gaming,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Gaming,Analytics,FALSE,FALSE,FALSE,S,14,"New York, NY, USA",United States of America,0
Tenjin,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Analytics,,FALSE,FALSE,FALSE,S,14,"San Francisco, CA, USA",United States of America,0
SpotAngels,Consumer,Consumer -> Transportation Services,Consumer,Transportation Services,Navigation,,FALSE,FALSE,FALSE,S,14,"San Francisco, CA, USA",United States of America,0
UserGems,B2B Software and Services,B2B Software and Services -> Recruiting and Talent,B2B Software and Services,Recruiting and Talent,B2B,Sales,FALSE,FALSE,FALSE,S,14,Austria,Austria,0
SFOX,Financial Technology,Financial Technology -> Banking and Exchange,Financial Technology,Banking and Exchange,Fintech,Crypto / Web3,FALSE,FALSE,FALSE,S,14,Remote,United States of America,1
Alchemy,Industrials,Industrials -> Manufacturing and Robotics,Industrials,Manufacturing and Robotics,Advanced Materials,,FALSE,FALSE,FALSE,S,14,"Waterloo, ON, Canada",Canada,0
Naytev,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Social Media,Marketing,FALSE,FALSE,FALSE,S,14,Remote,United States of America,0
MTailor,Consumer,Consumer -> Apparel and Cosmetics,Consumer,Apparel and Cosmetics,Machine Learning,E-commerce,FALSE,FALSE,FALSE,S,14,"San Francisco, CA, USA",United States of America,0
MetricWire,Healthcare,Healthcare -> Healthcare IT,Healthcare,Healthcare IT,Market Research,,FALSE,FALSE,FALSE,S,14,"Kitchener, ON, Canada",Canada,0
Protocol Labs,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Crypto / Web3,Open Source,FALSE,FALSE,FALSE,S,14,Remote,United States of America,0
Greentoe,Consumer,Consumer -> Consumer Electronics,Consumer,Consumer Electronics,E-Commerce,Marketplace,FALSE,FALSE,FALSE,S,14,Remote,United States of America,0
Hyperpad,Consumer,Consumer -> Gaming,Consumer,Gaming,Developer Tools,Education,FALSE,FALSE,FALSE,S,14,"London, ON, Canada",Canada,0
Flytenow,Consumer,"Consumer -> Travel, Leisure and Tourism",Consumer,"Travel, Leisure and Tourism",Air Taxis,,FALSE,FALSE,FALSE,S,14,Remote,United States of America,0
