name,subindustry,batch,Location1,Year,status,success
Dear Brightly,Healthcare -> Consumer Health and Wellness,W18,Remote,18,Active,Ongoing
AesculaTech,Healthcare -> Medical Devices,W18,"Los Angeles, CA, USA",18,Active,Ongoing
Reverie Labs,Healthcare -> Therapeutics,W18,"Cambridge, MA, USA",18,Active,Ongoing
Glimpse K12,Education,W18,"Huntsville, AL, USA",18,Active,Ongoing
Persephone Biosciences,Healthcare -> Therapeutics,W18,"San Diego, CA, USA",18,Active,Ongoing
Tingles,Consumer -> Content,W18,"San Francisco, CA, USA",18,Active,Ongoing
Tradewind BioScience,Healthcare -> Therapeutics,W18,"San Francisco, CA, USA",18,Active,Ongoing
Nectome,Healthcare -> Therapeutics,W18,"South San Francisco, CA, USA",18,Active,Ongoing
Biobot Analytics,Government,W18,"Cambridge, MA, USA",18,Active,Ongoing
NEXGENT,Education,W18,"San Jose, CA, USA",18,Active,Ongoing
Macromoltek,Healthcare -> Drug Discovery and Delivery,W18,"Austin, TX, USA",18,Active,Ongoing
Patchd Medical,Healthcare -> Healthcare IT,W18,"San Francisco, CA, USA",18,Active,Ongoing
